"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Sheesh Ram Ola";"Jhunjhunu";"Yes";"91.85%";"6";"10";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"12/12/2013";"";"86";"Male";"Matric";"This MP was appointed a minister in June, 2013. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sher Singh Ghubaya";"Ferozpur";"No";"63.50%";"12";"51";"0";"Punjab";"Shiromani Akali Dal";"Elected";"18 May 09";"In office";"";"51";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"2";"3";"4";"1";"0";"0";"2";"0";"5";"1";"0";"0";"7";"1";"0";"4";"2";"0";"6";"1";"1";"0";"5";"0";"10";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shibu Soren";"Dumka";"No";"23.12%";"0";"0";"0";"Jharkhand";"Jharkhand Mukti Morcha";"Elected";"18 May 09";"In office";"";"70";"Male";"Matric";"Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shivaji Adhalrao Patil";"Shirur";"No";"43.06%";"10";"1082";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"57";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"1";"4";"3";"1";"0";"0";"0";"5";"67";"96";"5";"5";"51";"80";"17";"75";"63";"33";"28";"33";"44";"28";"27";"23";"10";"34";"6";"53";"1";"42";"42";"37";"1";"14";"17";"9";"5";"18";"5";"2";"5";"4";"8";"12";"27";"2";"11";"13";"9";"2";"0";"1";"3";"7";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shivaramagouda Shivanagouda";"Koppal";"No";"78.38%";"60";"289";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"60";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"22";"8";"4";"3";"6";"1";"12";"0";"1";"0";"18";"14";"3";"1";"11";"22";"2";"21";"22";"11";"8";"10";"17";"9";"7";"2";"4";"10";"1";"5";"1";"6";"12";"7";"1";"3";"3";"2";"1";"1";"4";"1";"7";"7";"1";"3";"13";"2";"4";"6";"2";"2";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shivraj Singh Lodhi";"Damoh";"No";"86.31%";"14";"93";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"70";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"2";"0";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"4";"10";"3";"0";"14";"6";"0";"5";"10";"2";"0";"3";"1";"10";"1";"2";"0";"1";"6";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle";"Satara";"No";"50.62%";"1";"41";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"";"48";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"1";"3";"2";"1";"3";"0";"2";"1";"1";"2";"1";"0";"1";"0";"0";"1";"0";"2";"1";"5";"0";"1";"1";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shripad Yesso Naik";"North Goa";"No";"81.06%";"34";"140";"0";"Goa";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"61";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"10";"9";"0";"5";"6";"1";"2";"0";"1";"0";"12";"7";"0";"0";"4";"7";"1";"14";"5";"5";"8";"4";"7";"4";"5";"4";"1";"5";"0";"2";"0";"3";"2";"6";"0";"4";"4";"2";"2";"2";"3";"4";"1";"0";"1";"0";"3";"2";"1";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shriprakash Jaiswal";"Kanpur";"Yes";"";"0";"0";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"69";"Male";"Inter/ Higher Secondary";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Shruti Choudhry";"Bhiwani-Mahendragarh";"No";"82.06%";"24";"664";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"38";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"22";"0";"1";"0";"1";"0";"0";"0";"0";"51";"40";"1";"0";"40";"61";"12";"12";"65";"19";"17";"47";"14";"10";"11";"19";"12";"20";"3";"12";"4";"16";"25";"17";"5";"5";"7";"4";"10";"11";"6";"2";"2";"8";"5";"11";"22";"3";"8";"3";"9";"7";"0";"1";"1";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sidhant Mohapatra";"Berhampur";"No";"58.25%";"3";"4";"0";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"47";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sisir Kumar Adhikari";"Kanthi";"Yes";"45.40%";"0";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"72";"Male";"Inter/ Higher Secondary";"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sivakumar @ J.K. Ritheesh. K";"Ramanthapuram";"No";"36.06%";"16";"161";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"40";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"10";"0";"2";"3";"1";"0";"0";"0";"0";"3";"11";"11";"2";"1";"9";"3";"1";"4";"4";"9";"8";"5";"4";"4";"6";"5";"1";"0";"7";"4";"2";"3";"3";"6";"1";"6";"1";"1";"3";"2";"3";"1";"3";"1";"2";"4";"1";"0";"3";"3";"2";"0";"0";"1";"0";"4";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Jagathrakshakan";"Arakkonam";"Yes";"22.00%";"0";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"66";"Male";"Inter/ Higher Secondary";"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sk. Nurul Islam";"Basirhat";"No";"36.62%";"1";"4";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"50";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sk. Saidul Haque";"Bardhaman-Durgapur";"No";"97.62%";"96";"258";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"59";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"33";"7";"20";"3";"6";"4";"8";"1";"10";"2";"17";"12";"1";"2";"13";"17";"2";"16";"15";"1";"9";"13";"4";"12";"8";"4";"1";"2";"5";"6";"15";"4";"3";"14";"0";"5";"10";"7";"3";"8";"0";"1";"0";"0";"2";"3";"3";"1";"2";"11";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sohan Potai";"Kanker";"No";"67.75%";"24";"5";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"55";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"0";"3";"1";"5";"0";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Solanki Dinubhai Boghabhal";"Junagadh";"No";"15.50%";"0";"0";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"57";"Male";"Graduate";"Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Somabhai Gandalal Koli Patel";"Surendranagar";"No";"83.06%";"1";"10";"0";"Gujarat";"Indian National Congress";"Elected";"18 May 09";"In office";"";"73";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Somendra Nath Mitra";"Diamond Harbour";"No";"47.88%";"1";"278";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"70";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"18";"12";"3";"2";"8";"9";"3";"7";"17";"10";"14";"5";"10";"3";"6";"8";"9";"6";"1";"9";"3";"10";"5";"8";"0";"4";"3";"8";"3";"6";"3";"3";"1";"5";"12";"6";"5";"1";"5";"8";"3";"2";"1";"0";"3";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sonawane Pratap Narayanrao";"Dhule";"No";"55.44%";"14";"293";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"65";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"9";"0";"2";"3";"0";"0";"0";"0";"2";"26";"16";"2";"0";"23";"15";"10";"21";"19";"3";"11";"18";"7";"4";"12";"3";"3";"11";"1";"6";"1";"7";"10";"8";"0";"8";"7";"3";"0";"0";"2";"1";"2";"0";"0";"2";"9";"2";"7";"0";"3";"3";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sonia Gandhi";"Rae Bareli";"No";"47.25%";"2";"0";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"67";"Female";"Diploma Course";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Pakkirappa";"Raichur";"No";"69.81%";"4";"798";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"55";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"1";"1";"0";"1";"0";"0";"0";"0";"8";"40";"43";"4";"5";"31";"49";"12";"39";"37";"32";"18";"36";"31";"17";"16";"22";"15";"25";"8";"29";"5";"25";"23";"27";"5";"4";"19";"12";"6";"14";"17";"5";"5";"6";"15";"19";"13";"8";"7";"10";"5";"4";"1";"6";"2";"7";"3";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S.P.Y. Reddy";"Nandyal";"No";"47.19%";"3";"2";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Srikanta Kumar Jena";"Balasore";"Yes";"";"0";"0";"0";"Orissa";"Indian National Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. R. Jeyadurai";"Thoothukkudi";"No";"60.38%";"12";"681";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"44";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"1";"2";"2";"3";"0";"0";"0";"0";"4";"36";"59";"7";"3";"46";"23";"11";"75";"33";"42";"18";"15";"35";"8";"18";"13";"5";"25";"4";"17";"2";"23";"16";"14";"3";"20";"7";"11";"7";"15";"3";"25";"0";"1";"4";"3";"8";"4";"6";"3";"2";"4";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S. Semmalai";"Salem";"No";"86.62%";"127";"558";"4";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"68";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"36";"18";"34";"7";"5";"3";"2";"2";"9";"1";"41";"40";"1";"6";"21";"26";"9";"31";"25";"24";"19";"22";"16";"9";"20";"17";"6";"24";"9";"17";"3";"10";"13";"14";"3";"6";"7";"4";"8";"2";"10";"10";"4";"5";"12";"9";"9";"3";"3";"9";"4";"3";"1";"3";"2";"7";"2";"7";"6";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"S.S. Palanimanickam";"Thanjavur";"Yes";"35.50%";"0";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"63";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"S.S. Ramasubbu";"Tirunelveli";"No";"97.25%";"171";"1063";"2";"Tamil Nadu";"Indian National Congress";"Elected";"18 May 09";"In office";"";"64";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"52";"54";"12";"18";"8";"4";"9";"1";"11";"0";"58";"92";"2";"13";"80";"50";"33";"80";"31";"41";"33";"36";"43";"18";"38";"16";"5";"32";"7";"31";"3";"27";"19";"33";"5";"40";"11";"15";"5";"16";"9";"6";"13";"5";"24";"6";"14";"6";"23";"12";"13";"2";"0";"6";"0";"6";"1";"4";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subhash Bapurao Wankhede";"Hingoli";"No";"65.00%";"12";"327";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"51";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"1";"0";"0";"3";"0";"0";"0";"0";"2";"18";"25";"0";"0";"25";"17";"8";"20";"28";"18";"10";"18";"19";"6";"9";"1";"9";"2";"2";"2";"0";"11";"11";"17";"0";"4";"7";"0";"0";"5";"1";"2";"4";"3";"0";"10";"1";"2";"0";"3";"0";"3";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subodh Kant Sahay";"Ranchi";"Yes";"54.40%";"0";"0";"0";"Jharkhand";"Indian National Congress";"Elected";"18 May 09";"In office";"";"62";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Subrata Bakshi";"Kolkata Dakshin";"No";"32.63%";"1";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"21 Dec 11";"In office";"";"63";"Male";"Professional Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sucharu Ranjan Haldar";"Ranaghat";"No";"85.44%";"6";"29";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"73";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"2";"1";"1";"0";"2";"1";"2";"1";"0";"0";"0";"1";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"3";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sudarshan Bhagat";"Lohardaga";"No";"90.50%";"20";"402";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"44";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"14";"0";"3";"3";"0";"0";"0";"0";"12";"13";"29";"0";"1";"12";"23";"6";"25";"23";"15";"16";"26";"30";"17";"8";"22";"3";"12";"3";"8";"1";"11";"15";"10";"1";"6";"4";"2";"3";"5";"3";"0";"0";"0";"1";"2";"9";"1";"5";"3";"2";"5";"0";"0";"1";"3";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
